left_1,left_2,left_3,left_4,left_5,left_6,left_7,left_8,left_9,left_10,left_11,left_12,left_13,left_14,left_15,left_16,left_17,left_18,left_19,left_20,left_21,left_22,left_23,left_24,left_25,left_26,left_27,left_28,left_29,left_30,left_31,left_32,left_33,left_34,left_35,left_36,left_37,left_38,left_39,left_40,left_41,left_42,left_43,left_44,left_45,left_46,left_47,left_48,right_1,right_2,right_3,right_4,right_5,right_6,right_7,right_8,right_9,right_10,right_11,right_12,right_13,right_14,right_15,right_16,right_17,right_18,right_19,right_20,right_21,right_22,right_23,right_24,right_25,right_26,right_27,right_28,right_29,right_30,right_31,right_32,right_33,right_34,right_35,right_36,right_37,right_38,right_39,right_40,right_41,right_42,right_43,right_44,right_45,right_46,right_47,right_48,label
0,0,0,0,0,0,0,20,143,146,16,0,0,0,0,0,0,0,0,0,110,253,234,0,0,0,0,0,0,0,0,0,13,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,99,149,12,0,0,0,0,0,0,0,0,0,131,67,0,0,0,0,0,0,0,0,0,0,131,17,4,0,0,0,0,0,0,0,0,0,3,0,0,0,forward
0,0,0,0,0,0,0,0,9,110,20,0,0,0,0,0,0,0,0,0,56,278,383,21,0,0,0,0,0,0,0,0,0,112,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,150,21,0,0,0,0,0,0,0,0,0,122,98,0,0,0,0,0,0,0,0,0,0,152,56,0,0,0,0,0,0,0,0,0,0,25,0,0,0,forward
0,0,0,0,0,0,0,0,123,91,0,0,0,0,0,0,0,0,0,0,123,231,134,0,0,0,0,0,0,0,0,0,99,90,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,87,138,0,0,0,0,0,0,0,0,0,0,132,60,0,0,0,0,0,0,0,0,0,0,146,33,0,0,0,0,0,0,0,0,0,0,20,0,0,0,forward
0,0,0,0,0,0,0,62,127,62,0,0,0,0,27,0,0,0,0,0,113,136,97,0,0,0,0,0,0,0,0,0,67,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,4,43,70,61,0,0,0,0,0,0,0,0,0,13,47,0,0,0,0,0,0,0,0,0,0,12,91,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,forward
0,0,61,22,0,0,0,45,103,34,0,0,0,0,58,23,27,0,0,0,58,44,5,0,0,0,39,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,124,5,0,0,11,52,77,50,0,0,0,0,0,0,0,0,0,24,54,0,0,0,0,0,0,0,0,0,0,24,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
0,0,0,0,0,0,0,0,73,115,19,0,0,0,0,0,0,0,0,0,56,219,283,41,0,0,0,0,0,0,0,0,11,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,140,62,0,0,0,0,0,0,0,0,0,95,78,0,0,0,0,0,0,0,0,0,0,199,77,135,0,0,0,0,0,0,0,0,0,20,0,0,0,forward
0,0,0,0,0,0,0,0,76,84,0,0,0,0,0,0,0,0,0,0,62,211,265,17,0,0,0,0,0,0,0,0,45,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,168,77,0,0,0,0,0,0,0,0,0,121,97,0,0,0,0,0,0,0,0,0,0,163,58,112,0,0,0,0,0,0,0,0,0,15,0,0,0,forward
0,0,0,0,0,0,0,66,140,77,0,0,0,0,0,0,0,0,0,0,119,110,19,0,0,0,0,0,0,0,0,0,80,36,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,54,139,179,7,0,0,0,0,0,0,0,0,0,137,53,0,0,0,0,0,0,0,0,0,0,135,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
0,0,0,0,0,0,0,71,131,72,0,0,0,0,28,0,0,0,0,0,111,114,61,0,0,0,0,0,0,0,0,0,62,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,46,70,51,0,0,0,0,0,0,0,0,0,14,64,0,0,0,0,0,0,0,0,0,0,15,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
0,0,0,0,0,0,0,95,154,89,0,0,0,0,10,0,0,0,0,0,118,113,45,0,0,0,0,0,0,0,0,0,42,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,43,59,47,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,14,104,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,forward
