left_1,left_2,left_3,left_4,left_5,left_6,left_7,left_8,left_9,left_10,left_11,left_12,left_13,left_14,left_15,left_16,left_17,left_18,left_19,left_20,left_21,left_22,left_23,left_24,left_25,left_26,left_27,left_28,left_29,left_30,left_31,left_32,left_33,left_34,left_35,left_36,left_37,left_38,left_39,left_40,left_41,left_42,left_43,left_44,left_45,left_46,left_47,left_48,right_1,right_2,right_3,right_4,right_5,right_6,right_7,right_8,right_9,right_10,right_11,right_12,right_13,right_14,right_15,right_16,right_17,right_18,right_19,right_20,right_21,right_22,right_23,right_24,right_25,right_26,right_27,right_28,right_29,right_30,right_31,right_32,right_33,right_34,right_35,right_36,right_37,right_38,right_39,right_40,right_41,right_42,right_43,right_44,right_45,right_46,right_47,right_48,direction
0,0,0,0,0,0,6,47,87,12,0,0,0,0,0,0,0,0,0,29,153,43,0,0,0,0,0,0,0,0,0,20,166,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,160,156,45,0,0,0,0,0,0,0,0,0,5,65,22,0,0,0,0,0,0,0,0,0,0,41,26,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,forward
0,0,0,0,0,0,0,5,85,65,0,0,0,0,0,0,0,0,0,0,131,82,0,0,0,0,0,0,0,0,0,0,220,48,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,10,64,21,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,0,0,0,99,153,0,0,0,0,0,0,0,0,0,0,22,0,27,0,0,forward
0,0,0,0,0,0,0,0,81,71,0,56,0,0,0,0,0,0,0,0,86,73,0,0,0,0,0,0,0,0,0,0,196,55,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,19,67,0,37,0,0,0,0,0,0,0,0,22,163,0,21,0,0,0,0,0,0,0,0,23,5,10,267,0,forward
0,0,0,0,0,0,0,0,77,75,0,0,0,0,0,0,0,0,0,0,126,92,0,0,0,0,0,0,0,0,0,0,212,52,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,68,85,0,0,0,0,0,0,0,0,0,0,101,222,0,0,0,0,0,0,0,0,0,0,41,0,4,0,0,forward
0,0,0,0,0,0,0,0,97,57,0,0,0,0,0,0,0,0,0,0,166,71,0,0,0,0,0,0,0,0,0,0,307,31,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,71,26,0,0,0,0,0,0,0,0,0,0,104,105,0,0,0,0,0,0,0,0,0,0,119,168,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,forward
0,0,0,0,0,0,0,41,97,27,0,0,0,0,0,0,0,0,0,21,194,59,0,0,0,0,0,0,0,0,0,0,253,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,30,121,41,0,0,0,0,0,0,0,0,0,0,106,69,0,0,0,0,0,0,0,0,0,0,85,64,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,forward
0,0,0,0,0,0,0,25,64,5,0,0,0,0,0,0,0,0,0,22,159,43,0,0,0,0,0,0,0,0,0,21,230,7,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,132,185,54,0,0,0,0,0,0,0,0,0,0,89,47,0,0,0,0,0,0,0,0,0,0,68,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
0,0,0,0,0,0,0,21,62,13,0,0,0,0,0,0,0,0,0,13,138,49,0,0,0,0,0,0,0,0,0,4,164,4,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,146,152,35,0,0,0,0,0,0,0,0,0,4,70,26,0,0,0,0,0,0,0,0,0,0,48,35,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,forward
0,0,0,0,0,0,0,27,64,13,0,0,0,0,0,0,0,0,0,11,123,40,0,0,0,0,0,0,0,0,0,8,156,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,137,134,26,0,0,0,0,0,0,0,0,0,0,64,16,0,0,0,0,0,0,0,0,0,0,37,26,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,forward
0,0,0,0,0,0,6,35,72,22,0,0,0,0,6,0,0,0,0,12,125,40,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,146,150,34,0,0,0,0,0,0,0,0,0,0,61,13,0,0,0,0,0,0,0,0,0,0,39,29,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,forward
0,0,0,0,0,0,0,30,67,21,0,0,0,0,0,0,0,0,0,22,146,55,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,144,151,31,0,0,0,0,0,0,0,0,0,3,68,22,0,0,0,0,0,0,0,0,0,0,37,28,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,forward
0,0,0,0,0,0,0,27,65,24,0,0,0,0,0,0,0,0,0,8,139,55,0,0,0,0,0,0,0,0,0,0,211,24,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,146,151,31,0,0,0,0,0,0,0,0,0,0,74,35,0,0,0,0,0,0,0,0,0,0,47,40,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,forward
0,0,0,0,0,0,0,26,67,26,0,0,0,0,0,0,0,0,0,17,143,64,0,0,0,0,0,0,0,0,0,0,219,27,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,157,181,44,0,0,0,0,0,0,0,0,0,6,79,33,0,0,0,0,0,0,0,0,0,0,36,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
0,0,0,0,0,0,0,17,60,27,0,0,0,0,0,0,0,0,0,12,138,67,0,0,0,0,0,0,0,0,0,0,262,60,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,160,195,50,0,0,0,0,0,0,0,0,0,0,90,44,0,0,0,0,0,0,0,0,0,0,47,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
